project_type,acquisition_stage,land_area,affected_families,compensation_completion_pct,pending_approvals,legal_disputes,possession_pct,rehabilitation_completion_pct,stakeholder_response_days,elapsed_acquisition_days,delayed
INDUSTRIAL,NOTIFICATION,28.11,594,22.5,5,2,57.0,8.8,49,403,1
IRRIGATION,VALUATION,188.87,499,49.5,1,4,70.7,34.8,68,989,1
INDUSTRIAL,SURVEY,102.86,454,86.1,2,0,33.5,4.2,27,825,1
IRRIGATION,NOTIFICATION,288.21,482,88.1,3,2,58.9,21.1,55,643,1
URBAN,REHABILITATION,139.86,255,5.1,0,2,53.1,58.1,63,1117,1
URBAN,POSSESSION,108.98,461,87.1,0,2,76.3,21.7,63,518,0
IRRIGATION,NOTIFICATION,269.07,184,99.3,0,3,42.6,84.5,60,618,0
URBAN,VALUATION,106.55,111,42.6,2,4,44.5,93.9,55,113,1
INDUSTRIAL,POSSESSION,68.8,338,58.1,5,0,96.1,99.2,30,1123,0
IRRIGATION,COMPLETED,68.79,316,6.6,4,1,41.4,61.4,38,231,1
IRRIGATION,REHABILITATION,55.79,635,76.4,2,0,62.5,72.6,59,376,0
RAILWAY,SURVEY,137.42,578,57.5,0,2,87.0,98.5,74,147,1
INDUSTRIAL,VALUATION,51.69,629,9.6,2,0,15.3,52.3,73,97,1
ROAD,COMPENSATION,182.79,540,71.8,4,0,36.3,40.5,15,684,0
ROAD,VALUATION,254.53,457,35.7,3,3,20.5,72.2,27,674,1
INDUSTRIAL,REHABILITATION,55.63,468,59.7,1,4,75.4,12.3,88,452,1
IRRIGATION,NOTIFICATION,127.29,265,59.5,3,4,32.0,27.6,17,171,1
INDUSTRIAL,VALUATION,316.49,503,59.8,1,4,17.9,60.9,54,125,1
IRRIGATION,NOTIFICATION,94.96,597,84.2,1,1,27.3,90.2,84,1296,0
IRRIGATION,REHABILITATION,23.42,467,54.5,3,3,97.6,11.2,31,1177,1
IRRIGATION,NOTIFICATION,321.71,413,99.6,1,2,81.0,47.9,72,397,0
URBAN,VALUATION,19.12,555,83.4,2,2,31.1,97.0,76,443,1
ROAD,SURVEY,75.7,484,50.1,4,4,35.4,47.9,77,136,1
RAILWAY,NOTIFICATION,146.53,683,71.6,0,1,23.5,8.3,57,494,1
IRRIGATION,NOTIFICATION,125.25,118,5.4,1,2,3.5,83.2,10,365,1
URBAN,SURVEY,55.46,521,69.2,5,0,25.4,20.3,65,510,1
URBAN,SURVEY,210.41,48,23.4,1,2,4.4,44.4,12,117,1
RAILWAY,POSSESSION,166.86,563,83.1,4,4,99.4,90.1,65,223,1
RAILWAY,COMPENSATION,113.86,459,75.8,2,0,73.9,32.5,75,1223,0
INDUSTRIAL,REHABILITATION,90.18,517,63.5,0,3,4.6,49.4,11,722,0
ROAD,NOTIFICATION,19.72,138,43.1,2,2,30.8,97.1,22,1149,1
IRRIGATION,REHABILITATION,2.37,9,57.8,1,0,35.0,59.6,2,773,0
URBAN,COMPENSATION,99.53,444,39.3,2,0,38.5,90.0,1,399,1
ROAD,REHABILITATION,120.49,659,87.9,4,3,38.4,19.8,19,824,1
ROAD,NOTIFICATION,162.46,488,47.0,5,1,87.5,72.3,6,499,1
URBAN,SURVEY,263.72,393,13.3,0,3,19.9,19.2,64,652,1
URBAN,REHABILITATION,69.55,297,90.5,3,4,87.0,59.2,20,124,0
ROAD,NOTIFICATION,72.76,216,62.0,0,0,83.0,35.3,38,969,0
RAILWAY,REHABILITATION,116.08,643,93.3,5,0,84.8,77.0,9,293,0
RAILWAY,COMPENSATION,85.23,399,89.9,2,2,36.8,40.5,76,299,1
INDUSTRIAL,VALUATION,44.32,659,83.7,0,4,38.5,2.9,24,931,1
IRRIGATION,NOTIFICATION,85.97,70,85.2,3,1,65.8,48.8,61,493,1
URBAN,NOTIFICATION,163.49,193,28.9,3,2,6.6,76.5,52,1268,1
ROAD,NOTIFICATION,9.77,345,72.7,4,2,3.1,18.7,58,1238,1
