project_code,snapshot_month,sector_name,line_ministry,original_cost_crore,expenditure_crore,days_to_original_deadline,original_deadline_passed,expenditure_to_original_cost_pct,will_schedule_slip_next_3_months
400005,2025-07,Transmission & Distribution,Ministry of Power,4546,4148.46,-780.0,1,91.25516937967444,0
400010,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,480,427.04,-1416.0,1,88.96666666666667,0
400012,2025-07,Energy Storage,Ministry of Petroleum & Natural Gas,10088,7598.13,-1309.0,1,75.31849722442506,0
400013,2025-07,Telecommunication,Department of Telecommunications,26316,9291.8,-406.0,1,35.30855753153975,0
400018,2025-07,Coal,Ministry of Coal,859,450.47,1339.0,0,52.44121071012806,0
400019,2025-07,Railways,Ministry of Railways,493,234.48,518.0,0,47.56186612576065,0
400022,2025-07,Railways,Ministry of Railways,2798,1891.9,1826.0,0,67.61615439599714,0
400023,2025-07,Railways,Ministry of Railways,749,,1004.0,0,,0
400033,2025-07,Coal,Ministry of Coal,581,20.52,974.0,0,3.53184165232358,0
400035,2025-07,Energy Storage,Ministry of Petroleum & Natural Gas,656,465.73,61.0,0,70.9954268292683,1
400043,2025-07,Energy Storage,Ministry of Petroleum & Natural Gas,829,297.77,304.0,0,35.91917973462002,0
400045,2025-07,Railways,Ministry of Railways,168,69.85,-122.0,1,41.57738095238095,0
400062,2025-07,Electricity Generation,Ministry of Power,17673,1183.7,1430.0,0,6.697787585582528,0
400065,2025-07,Steel,Ministry of Steel,1105,736.47,-77.0,1,66.64886877828054,1
400073,2025-07,Coal,Ministry of Coal,799,426.16,2435.0,0,53.33667083854819,0
400074,2025-07,Coal,Ministry of Coal,908,251.79,1339.0,0,27.730176211453745,0
400077,2025-07,Energy Storage,Ministry of Petroleum & Natural Gas,827,619.5,-212.0,1,74.9093107617896,0
400078,2025-07,Energy Storage,Ministry of Petroleum & Natural Gas,9028,7071.08,-224.0,1,78.32388125830748,0
400087,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,886,765.43,212.0,0,86.39164785553048,0
400093,2025-07,Water Resources,"Department of Water Resources, River Development & GR",1673,,-2039.0,1,,0
400095,2025-07,Water Resources,"Department of Water Resources, River Development & GR",744,252.0,-2039.0,1,33.87096774193548,0
400096,2025-07,Water Resources,"Department of Water Resources, River Development & GR",648,172.56,-2039.0,1,26.62962962962963,0
400097,2025-07,Water Resources,"Department of Water Resources, River Development & GR",5022,4954.99,-2039.0,1,98.66567104739147,1
400100,2025-07,Water Resources,"Department of Water Resources, River Development & GR",353,869.11,-2039.0,1,246.20679886685554,1
