sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
1,18048,(RO Jaipur),"Building (widening / Two Laning with Paved Shoulder , etc.), maintenance, management and operation of the National Highway No.927A in the State of Rajasthan.",,1300,0,1300,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=18048
2,22059,RO Shimla,Land Acquisition estimate for Theog by pass 2.317km length from 174/040 to 176/400 of NH-22 in the State of Himachal Pradesh.,,2.32,2,0.32,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=22059
3,24065,(RO Jaipur),Land Acquisition for construction of two laning with paved shoulder on national highway no.158 ( Ras-Beawar-Asind-Mandal Section) from Km 0.000 to 116.912 in the state of rajasthan,,3200,190,3010,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=24065
4,26080,RO Guwahati,2-laning with pavd shoulder of NH-108A from 0.000 to 21.412,,67.9,17.4,50.5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=26080
5,28082,RO Bhubneswar,Widening to 2L+PS from Km 181.00 to 239.280 of NH-26 (Bhawanipatna to Koksara).,,16.9,0,16.9,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=28082
6,30088,RO Bhubneswar,Acquisition of land for construction of ROB cum bypass road for Titlagarh Town on NH-59,,115,0,115,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=30088
7,30090,RO Bhubneswar,Widening and strengthening of NH-57 from Km 0 to Km 45.750 ( Bolangir -Sonepur ) section in the state of Odisha.,,7.3,0,7.3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=30090
8,34119,(RO Jaipur),"Upgradation (widening /Two-laning,etc), maintenance, management and operation of National Highways No.325 in the stretch of land from design chainage Km 16+200 to 157+183 ( existing chainage Km 16+200 to Km 164+031) in District Barmer, Jalore, Pali in the state of Rajasthan ( Package No. NHAI/IAHE/22)",,1500,100,1400,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=34119
9,36167,(RO Jaipur),"building (widening / two-laning, etc.), maintenance, management and operation of the National Highway No. 709E in the State of Rajasthan.",,190,100,90,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=36167
10,36172,(RO Jaipur),Construction of 2 lane with paved shoulder Northern Bypass Phase-II at Kota from Design chainage Km 0/0 (Km 178+300 of SH-33) to Km 12/725 (Km 236+800 of NH-52) comprising the section from Gamach Phatak to Ballop.,,68.43,0,68.43,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=36172
11,37174,RO Raipur,2-Lane ROB at L/C No. AB-27 on Manendragarh to Ambikapur Road of NH No.43 at Railway Chainage 937/14-15 on Ambikapur to Bishrampur Railway line near Belbahara (Chhattisgarh),,3.4,1.069,2.33,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=37174
12,37178,(RO Jaipur),construction of 2 lane with paved shoulder from km 0/00 to 87/200 of 248A (Sahapura - Alwar section) in the State of Rajasthan,,550,195,355,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=37178
13,38180,RO Patna,Construction of ROB and its approaches at LC No:- 65-B/2-E from Km 131 to 133 of NH-19,,6.063,3.133,2.93,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=38180
14,40216,(RO Jaipur),Acquisition of land in respect of bypass for Barmer city on NH-15 Jaisalmer-Barmer-Sanchore stretch in Km 144/500 to 160/700 in the state of Rajasthan,,300,0,300,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40216
15,40218,(RO Jaipur),Acquisition of land in respect of National Highway No. 11 from Km 0.000 ( Fathehpur) to Km 49.000 ( Jhunjhunu) in the state of Rajasthan.,,238,65.64,172.36,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40218
16,40238,RO Bhubneswar,Widening and strengthening of 2 lane to 2 lane carriage way with paved shoulder from 269/3 to 328/20 including Kuchinda bypass of NH-49.,,16.92,0,16.92,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40238
17,40239,(RO Chennai),Construction of Rameshwaram Bypass of NH-49,,8.597,0.749,7.848,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40239
18,40240,(RO Chennai),Construction of Thiruvaiyaru Bypass of NH-226 Extn in the state of Tamil Nadu,,42.3942,0,42.3942,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40240
19,40241,(RO Chennai),"construction of Atchampathu, Viratipathu Bypass of NH-49 Extn",,15.7774,0,15.7774,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40241
20,40242,(RO Chennai),Construction of ROB in lieu of existing level crossing No.17 at Km 22/2 (near Checkkanurani) of NH-49Extn (New NH No. 85) Madurai-Cochin Road in the district of Madurai in the state of Tamil Nadu,,2.515,0,2.515,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40242
21,40243,(RO Chennai),Construction of ROB in lieu of existing level crossing No.44 at Km 50/3 (near Usilampatti) of NH-49 Extn,,6.5944,0,6.5944,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40243
22,40244,(RO Chennai),Construction of ROB from km 75.228 to 76.273 in lieu of LC-68 (near Theni)on NH-49Extn in district of Theni in the State of TAMIL NADU,,1.214,0,1.214,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40244
23,40245,(RO Chennai),Construction of ROB in lieu of existing level crossing No.85 at Km 93/4 (near Bodi) of NH-49 Extn,,1.8,0,1.8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40245
24,42271,(RO Jaipur),Acquisition of land in respect of National Highway No. 168A in the state of Rajasthan on the stretch of Design chainage Km 0.000 to Km 11.800 (existing chainage Km 0.000 to Km 12.000),,100,50,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=42271
