project_id,three_A_date,three_A_notification,three_A_notification_normalized,three_D_date,three_D_notification,three_D_notification_normalized,days_3A_to_3D,delay_over_365d,match_method,geography_verified,research_label,project_number,project_name,url,land_required_ha,land_available_ha,land_to_be_acquired_ha,land_acquired_ha,land_available_ratio
18048,2018-01-10,152(E),152E,2018-10-25,5448,5448,288,0,deduped_nearest_subsequent_3D,False,True,MO/2017/18048,"Building (widening / Two Laning with Paved Shoulder , etc.), maintenance, management and operation of the National Highway No.927A in the State of Rajasthan. राष्ट्रीय राजमार्ग संख्या ९२७ अ के प्रबनध सञ्चालन एवं चौड़ीकरण का कार्य",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=18048,1300.0,0.0,1300.0,2.203,0.0
18048,2018-01-16,244 (E),244E,2018-11-29,5942 (E),5942E,317,0,deduped_nearest_subsequent_3D,False,True,MO/2017/18048,"Building (widening / Two Laning with Paved Shoulder , etc.), maintenance, management and operation of the National Highway No.927A in the State of Rajasthan. राष्ट्रीय राजमार्ग संख्या ९२७ अ के प्रबनध सञ्चालन एवं चौड़ीकरण का कार्य",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=18048,1300.0,0.0,1300.0,2.203,0.0
18048,2018-01-16,245(E),245E,2018-11-29,5945 (E),5945E,317,0,deduped_nearest_subsequent_3D,False,True,MO/2017/18048,"Building (widening / Two Laning with Paved Shoulder , etc.), maintenance, management and operation of the National Highway No.927A in the State of Rajasthan. राष्ट्रीय राजमार्ग संख्या ९२७ अ के प्रबनध सञ्चालन एवं चौड़ीकरण का कार्य",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=18048,1300.0,0.0,1300.0,2.203,0.0
18048,2018-01-16,246(E),246E,2018-12-28,6438 (E),6438E,346,0,deduped_nearest_subsequent_3D,False,True,MO/2017/18048,"Building (widening / Two Laning with Paved Shoulder , etc.), maintenance, management and operation of the National Highway No.927A in the State of Rajasthan. राष्ट्रीय राजमार्ग संख्या ९२७ अ के प्रबनध सञ्चालन एवं चौड़ीकरण का कार्य",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=18048,1300.0,0.0,1300.0,2.203,0.0
18048,2022-04-04,1588-E,1588E,2023-03-28,1449-E,1449E,358,0,deduped_nearest_subsequent_3D,False,True,MO/2017/18048,"Building (widening / Two Laning with Paved Shoulder , etc.), maintenance, management and operation of the National Highway No.927A in the State of Rajasthan. राष्ट्रीय राजमार्ग संख्या ९२७ अ के प्रबनध सञ्चालन एवं चौड़ीकरण का कार्य",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=18048,1300.0,0.0,1300.0,2.203,0.0
18048,2025-02-28,1039-E,1039E,2026-01-20,283-E,283E,326,0,deduped_nearest_subsequent_3D,False,True,MO/2017/18048,"Building (widening / Two Laning with Paved Shoulder , etc.), maintenance, management and operation of the National Highway No.927A in the State of Rajasthan. राष्ट्रीय राजमार्ग संख्या ९२७ अ के प्रबनध सञ्चालन एवं चौड़ीकरण का कार्य",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=18048,1300.0,0.0,1300.0,2.203,0.0
22059,2017-07-30,notificat222,CAT222,2017-07-31,notifi222,222,1,0,deduped_nearest_subsequent_3D,False,True,MO/2017/22059,Land Acquisition estimate for Theog by pass 2.317km length from 174/040 to 176/400 of NH-22 in the State of Himachal Pradesh. Land Acquisition estimate for Theog by pass 2.317km length from 174/040 to 176/400 of NH-22 in the State of Himachal Pradesh,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=22059,2.32,2.0,0.32,0.0,0.8620689655172414
24065,2018-02-23,902(E),902E,2019-02-21,942 (E),942E,363,0,deduped_nearest_subsequent_3D,False,True,MO/2017/24065,Land Acquisition for construction of two laning with paved shoulder on national highway no.158 ( Ras-Beawar-Asind-Mandal Section) from Km 0.000 to 116.912 in the state of rajasthan लैंड एक्वीजीशन फॉर कंस्ट्रक्शन ऑफ़ तवो लैनिंग विथ पवेद शोल्डर ों नेशनल हाईवे no.१५८ ( Ras-Beawar-Asind-मंडल Section) फ्रॉम कम 0.००० तो 116.९१२ इन थे स्टेट ऑफ़ राजस्थान,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=24065,3200.0,190.0,3010.0,4.9869,0.059375
24065,2018-02-23,903(E),903E,2019-02-21,943 (E),943E,363,0,deduped_nearest_subsequent_3D,False,True,MO/2017/24065,Land Acquisition for construction of two laning with paved shoulder on national highway no.158 ( Ras-Beawar-Asind-Mandal Section) from Km 0.000 to 116.912 in the state of rajasthan लैंड एक्वीजीशन फॉर कंस्ट्रक्शन ऑफ़ तवो लैनिंग विथ पवेद शोल्डर ों नेशनल हाईवे no.१५८ ( Ras-Beawar-Asind-मंडल Section) फ्रॉम कम 0.००० तो 116.९१२ इन थे स्टेट ऑफ़ राजस्थान,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=24065,3200.0,190.0,3010.0,4.9869,0.059375
24065,2018-02-23,904(E),904E,2019-02-21,944 (E),944E,363,0,deduped_nearest_subsequent_3D,False,True,MO/2017/24065,Land Acquisition for construction of two laning with paved shoulder on national highway no.158 ( Ras-Beawar-Asind-Mandal Section) from Km 0.000 to 116.912 in the state of rajasthan लैंड एक्वीजीशन फॉर कंस्ट्रक्शन ऑफ़ तवो लैनिंग विथ पवेद शोल्डर ों नेशनल हाईवे no.१५८ ( Ras-Beawar-Asind-मंडल Section) फ्रॉम कम 0.००० तो 116.९१२ इन थे स्टेट ऑफ़ राजस्थान,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=24065,3200.0,190.0,3010.0,4.9869,0.059375
