project_id,project_number,project_name,url,land_required_ha,land_available_ha,land_to_be_acquired_ha,land_acquired_ha
18048,MO/2017/18048,"Building (widening / Two Laning with Paved Shoulder , etc.), maintenance, management and operation of the National Highway No.927A in the State of Rajasthan. राष्ट्रीय राजमार्ग संख्या ९२७ अ के प्रबनध सञ्चालन एवं चौड़ीकरण का कार्य",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=18048,1300.0,0.0,1300.0,2.203
22059,MO/2017/22059,Land Acquisition estimate for Theog by pass 2.317km length from 174/040 to 176/400 of NH-22 in the State of Himachal Pradesh. Land Acquisition estimate for Theog by pass 2.317km length from 174/040 to 176/400 of NH-22 in the State of Himachal Pradesh,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=22059,2.32,2.0,0.32,0.0
24065,MO/2017/24065,Land Acquisition for construction of two laning with paved shoulder on national highway no.158 ( Ras-Beawar-Asind-Mandal Section) from Km 0.000 to 116.912 in the state of rajasthan लैंड एक्वीजीशन फॉर कंस्ट्रक्शन ऑफ़ तवो लैनिंग विथ पवेद शोल्डर ों नेशनल हाईवे no.१५८ ( Ras-Beawar-Asind-मंडल Section) फ्रॉम कम 0.००० तो 116.९१२ इन थे स्टेट ऑफ़ राजस्थान,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=24065,3200.0,190.0,3010.0,4.9869
26080,MO/2017/26080,2-laning with pavd shoulder of NH-108A from 0.000 to 21.412 2-लैनिंग विथ पवद शोल्डर ऑफ़ NH-१०८ा फ्रॉम 0.००० तो,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=26080,67.9,17.4,50.5,0.0
28082,MO/2017/28082,Widening to 2L+PS from Km 181.00 to 239.280 of NH-26 (Bhawanipatna to Koksara). वाइडनिंग टो 2ऍल्‌+पीऍस्‌ फ्रम केएम 181.00 टो 239.280 ओफ ऍन्‌हॆच्‌-26 (भवानीपत्न टो कोक्सर).,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=28082,16.9,0.0,16.9,0.0
30088,MO/2017/30088,Acquisition of land for construction of ROB cum bypass road for Titlagarh Town on NH-59 एक्वीजीशन ऑफ़ लैंड फॉर कंस्ट्रक्शन ऑफ़ रॉब छुम बाईपास रोड फॉर टिटलागढ़ टाउन ों,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=30088,115.0,0.0,115.0,0.0
30090,MO/2017/30090,Widening and strengthening of NH-57 from Km 0 to Km 45.750 ( Bolangir -Sonepur ) section in the state of Odisha. विडेनिंग एंड स्ट्रेंग्थेनिंग ऑफ़ NH-५७ फ्रॉम कम ० तो कम 45.७५० ( बोलांगीर -सोनपुर ) सेक्शन इन थे स्टेट ऑफ़,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=30090,7.3,0.0,7.3,0.0
34119,MO/2017/34119,"Upgradation (widening /Two-laning,etc), maintenance, management and operation of National Highways No.325 in the stretch of land from design chainage Km 16+200 to 157+183 ( existing chainage Km 16+200 to Km 164+031) in District Barmer, Jalore, Pali in the state of Rajasthan ( Package No. NHAI/IAHE/22) उपग्रडेशन ऑफ़ (विडेनिंग /तवो / Two-laning, etc), maintenance, मैनेजमेंट एंड ऑपरेशन ऑफ़ नेशनल हाइवेज No.३२५ इन थे स्ट्रेच ऑफ़ लैंड फ्रॉम डिज़ाइन चैनगे कम 16+२०० तो 157+१८३ ( एक्सिस्टिंग चैनगे कम 16+२०० तो कम 164+031) इन डिस्ट्रिक्ट Barmer, Jalore, पाली इन थे स्टेट ऑफ़ राजस्थान ( पैकेज No.",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=34119,1500.0,100.0,1400.0,9.1842
36167,MO/2017/36167,"building (widening / two-laning, etc.), maintenance, management and operation of the National Highway No. 709E in the State of Rajasthan. राजस्थान राज्य में राष्ट्रीय राजमार्ग संख्या ७०९ एक्सटेंशन क निर्माण (चौड़ा करने / डॉ लेन को बनाने आदि ), अनुरक्षण प्रबंध और प्रचलन",https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=36167,190.0,100.0,90.0,6.127
36172,MO/2017/36172,Construction of 2 lane with paved shoulder Northern Bypass Phase-II at Kota from Design chainage Km 0/0 (Km 178+300 of SH-33) to Km 12/725 (Km 236+800 of NH-52) comprising the section from Gamach Phatak to Ballop. नोरथें कोटा बाईपास पकग कंस्ट्रक्शन ऑफ़ २ लें लेन विथ पवेद शौल्डे शोल्डर फ्रॉम 0/०० km. 12/७३० फ ऑफ़ नॉर्थन कोटा बाईपास बाईपास फेज फेज ऑफ़ -ी फ्रॉम गमच तो बल्लोप सेक्शन स्टेट और ऑफ़,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=36172,68.43,0.0,68.43,0.2114
