sr_no,sector_name,line_ministry,project_code,project_name,original_cost_crore,revised_cost_crore,expenditure_crore,original_end_date,revised_date,delay_days,schedule_revised_later,source_snapshot,source_url
1,Logistics Infrastructure,Department for Promotion of Industry & Internal Trade,707410,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,763,,430.0,2023-12-31,2028-05-15,1597.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
2,Real Estate,Department for Promotion of Industry & Internal Trade,701657,Tumakuru Node - Phase 1 - Roads and Services Development,1702,,184.16,2026-09-21,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
3,Real Estate,Department for Promotion of Industry & Internal Trade,701658,Krishnapatnam Node - Phase 1 - Roads and Services Development,2139,,625.56,2028-02-15,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
4,Education,Department of Higher Education,602098,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",425,500.91,484.52,2023-06-30,2025-11-30,884.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
5,Education,Department of Higher Education,602099,Establishment of Permanent campus Phase 1 of IIM Sirmaur,393,454.78,329.07,2023-10-31,2026-02-28,851.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
6,Education,Department of Higher Education,605292,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar, Punjab, Phase-I",348,,290.39,2023-06-30,2026-09-30,1188.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
7,Education,Department of Higher Education,606013,Additional Campus of NITPatna,499,,446.99,2024-07-31,2026-01-31,549.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
8,Education,Department of Higher Education,606112,Tezpur University Projects,154,,125.03,2023-11-08,2025-12-31,784.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
9,Education,Department of Higher Education,606431,CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE 1A,1006,1217.4,663.4,2022-06-07,2026-06-30,1484.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
10,Education,Department of Higher Education,606479,Banaras Hindu University [ Kayakalp of Institute of Medical Sciences],246,,200.11,2022-09-30,2026-03-31,1278.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
11,Education,Department of Higher Education,609019,"HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur",500,442.0,403.6,2023-03-31,2026-03-31,1096.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
12,Education,Department of Higher Education,609736,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South Sikkim",314,,278.69,2025-01-04,2026-03-31,451.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
13,Education,Department of Higher Education,609996,Construction of Precast housing and hostels at IIT Hyderabad,262,,200.11,2024-10-23,2026-01-01,435.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
14,Education,Department of Higher Education,610315,IISER BERHAMPUR,1229,843.09,835.6,2021-03-31,2026-06-30,1917.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
15,Education,Department of Higher Education,611957,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy & Sophisticated lab complex, Academic POD and  Infrastructure for center of excellence]",496,,56.35,2027-02-19,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
16,Education,Department of Higher Education,611963,"Construction & Development of Infrastructural Facilities in the main campus of NIT Uttarakhand at Sumari, Pauri Garhwal",651,,308.05,2027-09-30,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
17,Education,Department of Higher Education,612128,Hostel blocks & dining hall block,167,,102.52,2026-03-26,2026-03-26,0.0,0,,https://ipm.mospi.gov.in/Home/PublicDashboard
18,Education,Department of Higher Education,612851,"Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors Residence and External Development works at National Institute of Technology, Delhi Campus on Engineering, Procurement and Construction basis",333,336.42,304.15,2025-09-30,2026-01-31,123.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
19,Education,Department of Higher Education,612876,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",474,474.23,167.55,2029-12-31,2022-03-31,-2832.0,0,,https://ipm.mospi.gov.in/Home/PublicDashboard
20,Education,Department of Higher Education,612877,Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II],618,544.34,530.88,2024-12-31,2026-05-31,516.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
21,Education,Department of Higher Education,612883,Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District,686,610.76,171.56,2028-02-12,2026-12-31,-408.0,0,,https://ipm.mospi.gov.in/Home/PublicDashboard
22,Education,Department of Higher Education,612885,Construction and Developement of National Institute of Technology Meghalaya Permanent Campus at Sohra,495,429.7,362.48,2022-03-31,2026-10-31,1675.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
23,Education,Department of Higher Education,612894,"Construction of Permanent Campus of Central University of Himachal Pradesh at Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC Mode 1] Basis.",252,300.45,223.36,2024-11-18,2026-03-25,492.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
24,Education,Department of Higher Education,612898,Construction of Permanent Campus of National Institute of Technology Arunachal Pradesh,593,,550.61,2026-08-31,2024-08-31,-730.0,0,,https://ipm.mospi.gov.in/Home/PublicDashboard
25,Education,Department of Higher Education,612916,"Construction of permanent campus of Central University of Gujarat at Village kundhela, Dist. Vadodara, Gujarat.",491,,319.74,2025-03-31,2026-03-31,365.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
26,Education,Department of Higher Education,613008,Construction of Permanent Campus of Central Tribal University of Andhra Pradesh Phase-1,305,,62.16,2027-06-26,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
27,Education,Department of Higher Education,613013,Establishment of NIT Nagaland,276,,261.7,2025-12-31,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
28,Education,Department of Higher Education,616886,Delhi University Eastern Campus at Surajmal Vihar,373,,27.63,2026-10-31,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
29,Education,Department of Higher Education,617221,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block, International Hostel 100 seater, VC Residence and Purchase of Equipment",211,,39.12,2027-10-03,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
30,Education,Department of Higher Education,617877,Phase B of Construction of Permanent Campus of IIT Bhilai,1189,,,2028-10-31,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
31,Education,Department of Higher Education,617878,Phase B of Construction of Permanent Campus of IIT Palakkad,1527,,9.8,2028-10-31,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
32,Education,Department of Higher Education,619033,"1000 seater Boys hostel, 500 seater Girls hostel, 1.5 MLD Sewage Treatment Plant and Faculty Residence - 72 nos. Flats",199,,31.48,2026-06-30,,,,,https://ipm.mospi.gov.in/Home/PublicDashboard
33,Education,Department of Sports,400081,"National Sports University [NSU], Imphal [Manipur]",906,611.74,569.37,2024-08-26,2026-08-08,712.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
34,Telecommunication,Department of Telecommunications,400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,26316,30620.0,9791.8,2024-06-20,2026-03-31,649.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
35,Telecommunication,Department of Telecommunications,617413,Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase 1 Upgradation,1885,,376.8,2025-05-08,2026-03-31,327.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
36,Telecommunication,Department of Telecommunications,701593,4G Services by BSNL,28466,19592.0,8471.19,2024-03-31,2026-03-31,730.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
37,Telecommunication,Department of Telecommunications,701597,Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and 2 Districts of Assam,1255,,299.42,2023-04-30,2026-03-31,1066.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
38,Telecommunication,Department of Telecommunications,701598,Provision of 4G based Mobile Services in Uncovered Villages and National Highways of Meghalaya,972,,216.36,2022-03-03,2026-03-31,1489.0,1,,https://ipm.mospi.gov.in/Home/PublicDashboard
